2026-03-15T11:04:22 START listen=127.0.0.1:19080 upstream=208.214.160.156:50101 user=egorkaray
2026-03-15T11:06:39 HANDLE_ERROR peer=('127.0.0.1', 59959) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-15T11:07:17 CONNECT_OK peer=('127.0.0.1', 51077) target=149.154.167.41:443
2026-03-15T11:07:18 CONNECT_OK peer=('127.0.0.1', 51091) target=149.154.167.41:443
2026-03-15T11:07:18 CONNECT_OK peer=('127.0.0.1', 51106) target=149.154.167.51:80
2026-03-15T11:07:19 CONNECT_OK peer=('127.0.0.1', 51105) target=149.154.167.41:443
2026-03-15T11:07:19 CONNECT_OK peer=('127.0.0.1', 51104) target=149.154.167.51:443
2026-03-15T11:07:20 CONNECT_OK peer=('127.0.0.1', 51107) target=149.154.167.41:80
2026-03-15T11:07:22 CONNECT_OK peer=('127.0.0.1', 51135) target=149.154.167.41:80
2026-03-15T11:07:23 CONNECT_OK peer=('127.0.0.1', 51130) target=149.154.167.51:443
2026-03-15T11:07:23 CONNECT_OK peer=('127.0.0.1', 51148) target=149.154.167.41:80
2026-03-15T11:07:23 CONNECT_OK peer=('127.0.0.1', 51134) target=149.154.167.51:80
2026-03-15T11:07:23 CONNECT_OK peer=('127.0.0.1', 51146) target=149.154.167.41:443
2026-03-15T11:07:23 CONNECT_OK peer=('127.0.0.1', 51147) target=149.154.167.51:80
2026-03-15T11:07:24 CONNECT_OK peer=('127.0.0.1', 51145) target=149.154.167.51:443
2026-03-15T11:07:25 CONNECT_OK peer=('127.0.0.1', 51165) target=149.154.167.41:80
2026-03-15T11:07:26 CONNECT_OK peer=('127.0.0.1', 51164) target=149.154.167.51:80
2026-03-15T11:07:26 CONNECT_OK peer=('127.0.0.1', 51163) target=149.154.167.41:443
2026-03-15T11:07:28 CONNECT_OK peer=('127.0.0.1', 51162) target=149.154.167.51:443
2026-03-15T11:07:44 CONNECT_OK peer=('127.0.0.1', 51225) target=149.154.167.51:80
2026-03-15T11:07:44 CONNECT_OK peer=('127.0.0.1', 51223) target=149.154.167.51:443
2026-03-15T11:07:45 CONNECT_OK peer=('127.0.0.1', 51224) target=149.154.167.41:443
2026-03-15T11:07:45 CONNECT_OK peer=('127.0.0.1', 51214) target=149.154.167.41:80
2026-03-15T11:07:45 CONNECT_OK peer=('127.0.0.1', 51227) target=149.154.167.41:80
2026-03-15T11:07:46 CONNECT_OK peer=('127.0.0.1', 51212) target=149.154.167.41:443
2026-03-15T11:07:46 CONNECT_OK peer=('127.0.0.1', 51213) target=149.154.167.51:80
2026-03-15T11:07:47 CONNECT_OK peer=('127.0.0.1', 51241) target=149.154.167.41:443
2026-03-15T11:07:47 CONNECT_OK peer=('127.0.0.1', 51242) target=149.154.167.51:80
2026-03-15T11:07:47 CONNECT_OK peer=('127.0.0.1', 51211) target=149.154.167.51:443
2026-03-15T11:07:47 CONNECT_OK peer=('127.0.0.1', 51243) target=149.154.167.41:80
2026-03-15T11:07:48 CONNECT_OK peer=('127.0.0.1', 51240) target=149.154.167.51:443
2026-03-15T11:08:03 CONNECT_OK peer=('127.0.0.1', 51280) target=149.154.167.51:80
2026-03-15T11:08:04 CONNECT_OK peer=('127.0.0.1', 51281) target=149.154.167.41:80
2026-03-15T11:08:04 CONNECT_OK peer=('127.0.0.1', 51278) target=149.154.167.51:443
2026-03-15T11:08:04 CONNECT_OK peer=('127.0.0.1', 51293) target=149.154.167.41:443
2026-03-15T11:08:05 CONNECT_OK peer=('127.0.0.1', 51294) target=149.154.167.51:80
2026-03-15T11:08:05 CONNECT_OK peer=('127.0.0.1', 51292) target=149.154.167.51:443
2026-03-15T11:08:07 CONNECT_OK peer=('127.0.0.1', 51322) target=149.154.167.51:443
2026-03-15T11:08:07 CONNECT_OK peer=('127.0.0.1', 51323) target=149.154.167.41:443
2026-03-15T11:08:07 CONNECT_OK peer=('127.0.0.1', 51325) target=149.154.167.41:80
2026-03-15T11:08:07 CONNECT_OK peer=('127.0.0.1', 51324) target=149.154.167.51:80
2026-03-15T11:08:08 CONNECT_OK peer=('127.0.0.1', 51320) target=149.154.167.41:80
2026-03-15T11:08:20 CONNECT_OK peer=('127.0.0.1', 51360) target=149.154.167.41:80
2026-03-15T11:08:20 CONNECT_OK peer=('127.0.0.1', 51359) target=149.154.167.51:80
2026-03-15T11:08:21 CONNECT_OK peer=('127.0.0.1', 51357) target=149.154.167.51:443
2026-03-15T11:08:21 CONNECT_OK peer=('127.0.0.1', 51358) target=149.154.167.41:443
2026-03-15T11:08:21 CONNECT_OK peer=('127.0.0.1', 51374) target=149.154.167.41:80
2026-03-15T11:08:22 CONNECT_OK peer=('127.0.0.1', 51373) target=149.154.167.51:80
