2026-03-09T18:20:45 START listen=127.0.0.1:19080 upstream=208.214.160.156:50101 user=egorkaray
2026-03-09T18:20:48 CONNECT_OK peer=('127.0.0.1', 60768) target=8.6.112.6:443
2026-03-09T18:20:52 CONNECT_OK peer=('127.0.0.1', 60787) target=www.gstatic.com:443
2026-03-09T18:20:52 CONNECT_OK peer=('127.0.0.1', 60792) target=www.gstatic.com:443
2026-03-09T18:20:52 CONNECT_OK peer=('127.0.0.1', 60795) target=ipinfo.io:443
2026-03-09T18:20:52 CONNECT_OK peer=('127.0.0.1', 60793) target=www.perplexity.ai:443
2026-03-09T18:20:52 CONNECT_OK peer=('127.0.0.1', 60804) target=ipinfo.io:443
2026-03-09T18:20:52 CONNECT_OK peer=('127.0.0.1', 60814) target=www.perplexity.ai:443
2026-03-09T18:20:52 CONNECT_OK peer=('127.0.0.1', 60837) target=fscdn.eppo.cloud:443
2026-03-09T18:20:52 CONNECT_OK peer=('127.0.0.1', 60803) target=comet-test-fr.s3.eu-central-1.amazonaws.com:443
2026-03-09T18:20:53 CONNECT_OK peer=('127.0.0.1', 60798) target=www.perplexity.ai:443
2026-03-09T18:20:53 CONNECT_OK peer=('127.0.0.1', 60801) target=accounts.google.com:443
2026-03-09T18:20:53 CONNECT_OK peer=('127.0.0.1', 60812) target=www.perplexity.ai:443
2026-03-09T18:20:53 CONNECT_OK peer=('127.0.0.1', 60817) target=www.perplexity.ai:443
2026-03-09T18:20:53 CONNECT_OK peer=('127.0.0.1', 60842) target=www.perplexity.ai:443
2026-03-09T18:20:53 CONNECT_OK peer=('127.0.0.1', 60864) target=www.perplexity.ai:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60875) target=pplx-next-static-public.perplexity.ai:443
2026-03-09T18:20:55 UP_CONNECT_FAIL peer=('127.0.0.1', 60881) target=mtalk.google.com:5228 rep=2
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60885) target=www.perplexity.ai:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60879) target=update.googleapis.com:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60889) target=pplx-next-static-public.perplexity.ai:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60888) target=update.googleapis.com:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60876) target=r2cdn.perplexity.ai:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60882) target=android.clients.google.com:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60913) target=comet-test-fr.s3.eu-central-1.amazonaws.com:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60886) target=accounts.google.com:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60899) target=www.perplexity.ai:443
2026-03-09T18:20:55 CONNECT_OK peer=('127.0.0.1', 60890) target=r2cdn.perplexity.ai:443
2026-03-09T18:20:56 CONNECT_OK peer=('127.0.0.1', 60897) target=edge.perplexity.ai:443
2026-03-09T18:20:56 CONNECT_OK peer=('127.0.0.1', 60902) target=accounts.google.com:443
