2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60504) target=browser-intake-datadoghq.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60464) target=mail.google.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60485) target=edge.perplexity.ai:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60515) target=mail.google.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60542) target=collector.github.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60511) target=r2cdn.perplexity.ai:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60487) target=update.googleapis.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60502) target=www.perplexity.ai:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60476) target=update.googleapis.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60480) target=browser-intake-datadoghq.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60534) target=suggest.perplexity.ai:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60510) target=edge.perplexity.ai:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60530) target=avatars.githubusercontent.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60512) target=android.clients.google.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60536) target=browser-intake-datadoghq.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60540) target=content-autofill.googleapis.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60486) target=android.clients.google.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60505) target=browser-intake-datadoghq.com:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60489) target=r2cdn.perplexity.ai:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60472) target=fscdn.eppo.cloud:443
2026-03-14T21:27:46 CONNECT_OK peer=('127.0.0.1', 60479) target=browser-intake-datadoghq.com:443
