2026-03-09T18:16:27 CONNECT_OK peer=('127.0.0.1', 58309) target=cdn.uxfeedback.ru:443
2026-03-09T18:16:28 CONNECT_OK peer=('127.0.0.1', 58350) target=browser-intake-datadoghq.com:443
2026-03-09T18:16:28 CONNECT_OK peer=('127.0.0.1', 58318) target=yastatic.net:443
2026-03-09T18:16:28 CONNECT_OK peer=('127.0.0.1', 58316) target=www.avito.st:443
2026-03-09T18:16:28 CONNECT_OK peer=('127.0.0.1', 58342) target=content-autofill.googleapis.com:443
2026-03-09T18:16:28 CONNECT_OK peer=('127.0.0.1', 58330) target=pplx-next-static-public.perplexity.ai:443
2026-03-09T18:16:29 CONNECT_OK peer=('127.0.0.1', 58410) target=update.googleapis.com:443
2026-03-09T18:16:29 CONNECT_OK peer=('127.0.0.1', 58424) target=rr7---sn-8xgp1vo-p5qee.googlevideo.com:443
2026-03-09T18:16:29 CONNECT_OK peer=('127.0.0.1', 58389) target=browser-intake-datadoghq.com:443
2026-03-09T18:16:29 CONNECT_OK peer=('127.0.0.1', 58365) target=pplx-next-static-public.perplexity.ai:443
2026-03-09T18:16:29 CONNECT_OK peer=('127.0.0.1', 58402) target=optimizationguide-pa.googleapis.com:443
2026-03-09T18:16:29 CONNECT_OK peer=('127.0.0.1', 58435) target=sdk-api-v1.singular.net:443
2026-03-09T18:16:29 CONNECT_OK peer=('127.0.0.1', 58400) target=app.gitbook.com:443
2026-03-09T18:16:29 CONNECT_OK peer=('127.0.0.1', 58437) target=docs.proxy-seller.com:443
2026-03-09T18:16:29 CONNECT_OK peer=('127.0.0.1', 58450) target=browser-intake-datadoghq.com:443
2026-03-09T18:16:30 CONNECT_OK peer=('127.0.0.1', 58466) target=www.youtube.com:443
2026-03-09T18:16:30 CONNECT_OK peer=('127.0.0.1', 58461) target=content-autofill.googleapis.com:443
2026-03-09T18:16:30 CONNECT_OK peer=('127.0.0.1', 58428) target=docs.proxy-seller.com:443
2026-03-09T18:16:30 CONNECT_OK peer=('127.0.0.1', 58474) target=www.perplexity.ai:443
2026-03-09T18:16:30 CONNECT_OK peer=('127.0.0.1', 58432) target=count.perplexity.ai:443
2026-03-09T18:16:30 CONNECT_OK peer=('127.0.0.1', 58458) target=sdk-api-v1.singular.net:443
2026-03-09T18:16:31 CONNECT_OK peer=('127.0.0.1', 58497) target=rr2---sn-hgn7rn7y.googlevideo.com:443
2026-03-09T18:16:31 CONNECT_OK peer=('127.0.0.1', 58506) target=www.youtube.com:443
2026-03-09T18:16:32 CONNECT_OK peer=('127.0.0.1', 58488) target=content-autofill.googleapis.com:443
2026-03-09T18:16:32 CONNECT_OK peer=('127.0.0.1', 58504) target=perplexity-ai.cloudflareaccess.com:443
2026-03-09T18:16:32 CONNECT_OK peer=('127.0.0.1', 58496) target=rr2---sn-hgn7rn7y.googlevideo.com:443
2026-03-09T18:16:32 CONNECT_OK peer=('127.0.0.1', 58540) target=content-autofill.googleapis.com:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58530) target=perplexity-ai.cloudflareaccess.com:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58572) target=github.githubassets.com:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58574) target=content-autofill.googleapis.com:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58603) target=www.youtube.com:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58569) target=github.githubassets.com:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58568) target=github.com:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58584) target=collector.github.com:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58598) target=sdk-api-v1.singular.net:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58586) target=content-autofill.googleapis.com:443
2026-03-09T18:16:33 CONNECT_OK peer=('127.0.0.1', 58577) target=alive.github.com:443
2026-03-09T18:16:34 CONNECT_OK peer=('127.0.0.1', 58581) target=api.github.com:443
2026-03-09T18:16:34 CONNECT_OK peer=('127.0.0.1', 58621) target=sdk-api-v1.singular.net:443
2026-03-09T18:16:34 CONNECT_OK peer=('127.0.0.1', 58623) target=www.perplexity.ai:443
2026-03-09T18:16:35 CONNECT_OK peer=('127.0.0.1', 58644) target=rr2---sn-hgn7rn7y.googlevideo.com:443
2026-03-09T18:16:35 CONNECT_OK peer=('127.0.0.1', 58651) target=collector.github.com:443
2026-03-09T18:16:35 CONNECT_OK peer=('127.0.0.1', 58640) target=rr2---sn-hgn7rn7y.googlevideo.com:443
2026-03-09T18:16:36 CONNECT_OK peer=('127.0.0.1', 58649) target=www.perplexity.ai:443
2026-03-09T18:16:36 CONNECT_OK peer=('127.0.0.1', 58655) target=content-autofill.googleapis.com:443
2026-03-09T18:16:37 CONNECT_OK peer=('127.0.0.1', 58669) target=content-autofill.googleapis.com:443
2026-03-09T18:16:37 CONNECT_OK peer=('127.0.0.1', 58682) target=rr7---sn-8xgp1vo-p5qee.googlevideo.com:443
2026-03-09T18:16:37 CONNECT_OK peer=('127.0.0.1', 58685) target=www.trae.ai:443
2026-03-09T18:16:37 CONNECT_OK peer=('127.0.0.1', 58687) target=www.perplexity.ai:443
2026-03-09T18:16:38 CONNECT_OK peer=('127.0.0.1', 58702) target=github.com:443
2026-03-09T18:16:38 CONNECT_OK peer=('127.0.0.1', 58699) target=rr2---sn-hgn7rn7y.googlevideo.com:443
2026-03-09T18:16:38 CONNECT_OK peer=('127.0.0.1', 58697) target=browser-intake-datadoghq.com:443
2026-03-09T18:16:39 CONNECT_OK peer=('127.0.0.1', 58705) target=rr2---sn-hgn7rn7y.googlevideo.com:443
2026-03-09T18:16:41 CONNECT_OK peer=('127.0.0.1', 58723) target=mon-normal.trae.ai:443
2026-03-09T18:16:41 CONNECT_OK peer=('127.0.0.1', 58717) target=lf16-web-neutral.traecdn.ai:443
2026-03-09T18:16:41 CONNECT_OK peer=('127.0.0.1', 58719) target=alive.github.com:443
2026-03-09T18:16:41 CONNECT_OK peer=('127.0.0.1', 58725) target=ug-normal.trae.ai:443
2026-03-09T18:16:42 CONNECT_OK peer=('127.0.0.1', 58732) target=ug-normal.trae.ai:443
2026-03-09T18:16:43 CONNECT_OK peer=('127.0.0.1', 58752) target=ug-normal.trae.ai:443
2026-03-09T18:16:43 CONNECT_OK peer=('127.0.0.1', 58733) target=ug-normal.trae.ai:443
2026-03-09T18:16:43 CONNECT_OK peer=('127.0.0.1', 58747) target=mssdk-sg.trae.ai:443
2026-03-09T18:16:43 CONNECT_OK peer=('127.0.0.1', 58760) target=www.perplexity.ai:443
2026-03-09T18:16:45 CONNECT_OK peer=('127.0.0.1', 58765) target=mon-normal.trae.ai:443
2026-03-09T18:16:45 CONNECT_OK peer=('127.0.0.1', 58773) target=ug-normal.trae.ai:443
2026-03-09T18:16:45 CONNECT_OK peer=('127.0.0.1', 58768) target=ug-normal.trae.ai:443
2026-03-09T18:16:45 CONNECT_OK peer=('127.0.0.1', 58772) target=ug-normal.trae.ai:443
2026-03-09T18:16:45 CONNECT_OK peer=('127.0.0.1', 58777) target=ug-normal.trae.ai:443
2026-03-09T18:16:46 CONNECT_OK peer=('127.0.0.1', 58781) target=mtalk.google.com:443
2026-03-09T18:16:48 CONNECT_OK peer=('127.0.0.1', 58795) target=android.clients.google.com:443
2026-03-09T18:16:49 CONNECT_OK peer=('127.0.0.1', 58804) target=icube-normal.trae.ai:443
2026-03-09T18:16:49 CONNECT_OK peer=('127.0.0.1', 58802) target=mcs-normal.trae.ai:443
2026-03-09T18:16:49 CONNECT_OK peer=('127.0.0.1', 58800) target=libraweb-sg.tiktok.com:443
2026-03-09T18:16:50 CONNECT_OK peer=('127.0.0.1', 58817) target=mcs-normal.trae.ai:443
2026-03-09T18:16:50 CONNECT_OK peer=('127.0.0.1', 58806) target=www.trae.ai:443
2026-03-09T18:16:50 CONNECT_OK peer=('127.0.0.1', 58815) target=www.trae.ai:443
2026-03-09T18:16:50 CONNECT_OK peer=('127.0.0.1', 58821) target=api-us-east.trae.ai:443
2026-03-09T18:16:52 CONNECT_OK peer=('127.0.0.1', 58843) target=mcs-normal.trae.ai:443
2026-03-09T18:16:53 CONNECT_OK peer=('127.0.0.1', 58841) target=mcs-normal.trae.ai:443
2026-03-09T18:16:53 CONNECT_OK peer=('127.0.0.1', 58850) target=api-us-east.trae.ai:443
2026-03-09T18:16:53 CONNECT_OK peer=('127.0.0.1', 58857) target=mssdk-sg.byteoversea.com:443
2026-03-09T18:16:53 CONNECT_OK peer=('127.0.0.1', 58846) target=accounts.youtube.com:443
